energycarrier EUCalc;energy_carrier_switzerland
0;Energy product - Total
0;1. Fossil energy products
0;1.1. Petroleum products
liquid-ff-heatingoil;1.1.1. Crude oil
liquid-ff-heatingoil;1.1.2. Heating gasoil
liquid-ff-heatingoil;1.1.3. Residual fuel oil
liquid-ff-heatingoil;1.1.4. Gasoline
liquid-ff-heatingoil;1.1.5. Diesel
liquid-ff-heatingoil;1.1.6. Aviation fuel
solid-ff-coal;1.1.7. Petroleum Coke
liquid-ff-heatingoil;1.1.8. Other petroleum products
liquid-ff-heatingoil;1.1.9. Non-energy use of petroleum products
solid-ff-coal;1.2. Coal
gas-ff-natural;1.3. Natural gas
solid-waste;2. Waste (not biomass)
0;3. Renewable energies
solid-bio;3.1. Waste (biomass)
solid-bio;3.2. Wood and charcoal
gas-liquid-bio;3.3. Biogas and biofuels
heat-amb-geo-sol;3.4. Geothermal, ambient and solar heat
heat-nuclear;4. Nuclear fuels
electricity;5. Electricity
heat-district;6. District heating
